,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
IDENTIFICAÇÃO,TIPO,CÓDIGO,SERVIÇO,UND,QTDE,VALOR S/BDI,VALOR C/BDI,PARCELA,PERCENTUAL_INDIVIUAL,PERCENTUAL_ACUMULADO,CLASSE
66-23-68-035 U H,PRÓPRIA,12,"REFLETOR DE LED ALTA POTENCIA, 150W, 127-220W, 2.700K/6.000K, IP65, CORPO EM ALUMINIO RESISTENTE A AGUA",UN,"150,00 ","548,01 ","513,76 ","R$ 77.064,00","19,69044829","19,69044829",A
01-11-13-001 C H,PRÓPRIA,45,"CORDOALHA DE COBRE NU 35 MM², NAO ENTERRADA, COM ISOLADOR - FORNECIMENTO E INSTALACAO. AF_08/2023 CS: 96973",M,"800,00 ","71,41 ","66,95 ","R$ 53.560,00","13,68499442","33,37544271",A
01-11-13-001 C H,PRÓPRIA,40,"CORDOALHA DE COBRE NU 35 MM², NAO ENTERRADA, COM ISOLADOR - FORNECIMENTO E INSTALACAO. AF_08/2023 CS: 96973",M,"600,00 ","71,41 ","66,95 ","R$ 40.170,00","10,26374582","43,63918853",A
64-24-25-300 O H,PRÓPRIA,3,"LUMINARIA LED, 150W, IK08, IP66, CORPO EM ALUMINIO PARA ILUMINACAO PUBLICA, INCLUSIVE RELE - ILUMATIC ARGUS III 150 OU EQUIVALENTE TECNICO EXCLUSIVE TRANSPORTEVERTICAL - FORNECIMENTO E INSTALACAO",UN,"50,00 ","797,05 ","747,23 ","R$ 37.361,50","9,546152337","53,18534087",A
02-02-01-016 O H,PRÓPRIA,50,"ADMINISTRACAO LOCAL PARA O.S. ENTRER$ 330.000,01 A R$ 380.000,00",UN,"1,00 ","35.287,21 ","33.081,76 ","R$ 33.081,76","8,452645652","61,63798652",A
63-21-05-063 O H,PRÓPRIA,2,"REFLETOR DE LED 100W, 127-220W, 2.700K/66.000K, IP65, CORPO EM CHAPA DE ACO COMPINTURA ELETROSTATICA - FORNECIMENTO E INSTALACAO",UN,"70,00 ","213,04 ","199,73 ","R$ 13.981,10","3,57227923","65,21026575",A
66-23-68-035 U H,PRÓPRIA,1,"REFLETOR DE LED ALTA POTENCIA, 150W, 127-220W, 2.700K/6.000K, IP65, CORPO EM ALUMINIO RESISTENTE A AGUA",UN,"25,00 ","548,01 ","513,76 ","R$ 12.844,00","3,281741381","68,49200713",A
66-23-68-035 U H,PRÓPRIA,21,"REFLETOR DE LED ALTA POTENCIA, 150W, 127-220W, 2.700K/6.000K, IP65, CORPO EM ALUMINIO RESISTENTE A AGUA",UN,"25,00 ","548,01 ","513,76 ","R$ 12.844,00","3,281741381","71,77374851",A
67-23-68-039 O H,PRÓPRIA,10,"CAMINHÇO MUNCK, INCLUSIVE MOTORISTA",DIA,"5,00 ","2.157,99 ","2.023,12 ","R$ 10.115,60","2,58461407","74,35836258",A
64-24-25-300 O H,PRÓPRIA,13,"LUMINARIA LED, 150W, IK08, IP66, CORPO EM ALUMINIO PARA ILUMINACAO PUBLICA, INCLUSIVE RELE - ILUMATIC ARGUS III 150 OU EQUIVALENTE TECNICO EXCLUSIVE TRANSPORTEVERTICAL - FORNECIMENTO E INSTALACAO",UN,"10,00 ","797,05 ","747,23 ","R$ 7.472,30","1,909230467","76,26759305",A
64-24-25-300 O H,PRÓPRIA,22,"LUMINARIA LED, 150W, IK08, IP66, CORPO EM ALUMINIO PARA ILUMINACAO PUBLICA, INCLUSIVE RELE - ILUMATIC ARGUS III 150 OU EQUIVALENTE TECNICO EXCLUSIVE TRANSPORTEVERTICAL - FORNECIMENTO E INSTALACAO",UN,"10,00 ","797,05 ","747,23 ","R$ 7.472,30","1,909230467","78,17682352",A
01-11-03-005 C H,PRÓPRIA,44,"CABO DE COBRE FLEXIVEL ISOLADO, 4 MM², ANTI-CHAMA 450/750 V, PARA CIRCUITOS TERMINAIS - FORNECIMENTO E INSTALACAO. AF_03/2023 CS: 91928",M,"1.000,00 ","6,90 ","6,47 ","R$ 6.470,00","1,653135062","79,82995858",A
67-23-68-016 O H,PRÓPRIA,6,CABO PP 3 VIAS X 4MM² - FORNECIMENTO E INSTALACAO,M,"300,00 ","21,19 ","19,87 ","R$ 5.961,00","1,523081624","81,3530402",A
64-23-74-009 O H,PRÓPRIA,41,"RETIRADA DE CONJUNTO DE ELETRODUTOS,ACESSORIOS E CABOS",M,"600,00 ","9,71 ","9,11 ","R$ 5.466,00","1,396605294","82,7496455",A
