CÓDIGO,DESCRIÇÃO,QTDE.,VALOR UNITARIO (R$) ,VALOR TOTAL (R$),PERCENTUAL_IDIVIDUAL,PERCENTUAL_ACUMULADO,CLASSE
63-21-08-009 O ,"CORTINA ESTILO PAINEL, COLEÇÃO BLACKOUT(TECIDO BLACKOUT LAVÁVEL), COR BEGE - FORNECIMENTO E INSTALAÇÃO","690,00 ","R$ 725,84","R$ 500.829,60","12,70495399","12,70495399",A
62-23-52-002 U ,PISO VINÍLICO PADRÃO MADEIRA EM RÉGUACOR CEDRO - FONECIMENTO E INSTALAÇÃO,"  992,00 ","R$ 472,73","R$ 468.948,16","11,89619143","24,60114542",A
66-22-07-006 O ,"FORRO ACÚSTICO DE FIBRA MINERAL REMOVÍVEL, MODULAÇÃO 625X625MM,APOIADO EM PERFIS METÁLICOS TIPO T SUSPENSOS POR PERFIS RIGIDOS, E=15MM - FORNECIMENTO E INSTALAÇÃO","  992,00 ","R$ 294,78","R$ 292.421,76","7,418101899","32,01924732",A
63-23-27-002 O ,"DIVISÓRIA (N3) PAINEL/VIDRO/PAINEL MSO/COLMEIA, E=35MM, PERFIS EM AÇO GALV. PINTADO, COLOCADA","  720,00 ","R$ 350,88","R$ 252.633,60","6,408763109","38,42801043",A
01-12-05-005 C H,"CABO ELETRÔNICO CATEGORIA 6A, INSTALADO EM EDIFICAÇÃO RESIDENCIAL - FORNECIMENTO E INSTALAÇÃO. AF_11/2019 CS: 98298","  11.500,00 ","R$ 17,15","R$ 197.225,00","5,003167846","43,43117828",A
01-12-03-016 C ,"AR CONDICIONADO SPLIT INVERTER, PISO TETO, 24000 BTU/H, CICLO FRIO - FORNECIMENTO E INSTALAÇÃO. AF_11/2021_PSE CS: 103258","  10,00 ","R$ 15.425,69","R$ 154.256,90","3,913160918","47,3443392",A
01-12-03-014 C ,"AR CONDICIONADO SPLIT INVERTER, PISO TETO, 18000 BTU/H, CICLO FRIO - FORNECIMENTO E INSTALAÇÃO. AF_11/2021_PSE CS: 103256","  11,00 ","R$ 13.794,16","R$ 151.735,76","3,849205098","51,19354429",A
02-02-01-033 O ,"ADMINISTRAÇÃO LOCAL PARA O.S. ENTRER$ 1.180.000,01 A R$ 1.230.000,00","  2,00 ","R$ 109.315,63","R$ 150.855,57","3,826876583","55,02042088",A
01-19-13-008 C ,"CONTRAPISO EM ARGAMASSA PRONTA, PREPAROMANUAL, APLICADO EM ÁREAS SECAS SOBRE LAJE, ADERIDO, ACABAMENTO NÃO REFORÇADO, ESPESSURA 3CM. AF_07/2021 CS: 87634","  992,00 ","R$ 144,75","R$ 143.592,00","3,642615679","58,66303656",A
01-11-08-072 C H,"CABO DE COBRE FLEXÍVEL ISOLADO, 95 MM², 0,6/1,0 KV, PARA REDE AÉREA DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA DE BAIXA TENSÃO - FORNECIMENTO E INSTALAÇÃO. AF_07/2020 CS: 101567","  1.450,00 ","R$ 76,47","R$ 110.881,50","2,812821678","61,47585823",A
63-20-11-004 O ,PINTURA ACRÍLICA SEMI-BRILHO SUVINIL NACOR BRANCO NEVE,"  2.500,00 ","R$ 43,28","R$ 108.200,00","2,744797875","64,22065611",A
